timestamp,x,y,z
31:36.1,-48,1048,-200
31:36.2,-84,1104,-144
31:36.4,16,1044,-76
31:36.5,4,996,-212
31:36.6,-24,1004,-168
31:36.7,-4,1044,-92
31:36.8,0,1040,-120
31:36.9,-12,1060,-212
31:37.0,16,1104,-172
31:37.1,12,1076,-144
31:37.2,-128,1024,-168
31:37.3,-36,1016,-380
31:37.4,52,1064,120
31:37.5,-80,1068,116
31:37.6,-28,1024,64
31:37.7,-164,952,-216
31:37.8,-100,1072,-56
31:37.9,124,1076,-16
31:38.0,72,1064,-136
31:38.1,276,1044,152
31:38.2,208,1076,216
31:38.3,308,1144,780
31:38.4,80,1104,-72
31:38.5,120,1048,44
31:38.6,-220,856,-52
31:38.7,24,980,12
31:38.8,112,1032,-76
31:38.9,96,1056,-64
31:39.0,92,1040,-136
31:39.1,80,1040,-104
31:39.2,80,1052,-72
31:39.3,36,1044,-124
31:39.4,48,1032,-156
31:39.5,32,1032,-116
31:39.6,0,1040,-112
31:39.7,-24,992,-172
31:39.8,-8,1040,-76
31:39.9,-4,1028,-252
31:40.0,0,996,-60
31:40.1,-24,1024,-96
31:40.2,-16,1052,-24
31:40.3,-12,1052,-124
31:40.4,-8,1040,-80
31:40.5,-40,1064,-164
31:40.7,-36,1052,-184
31:40.8,-28,1080,-128
31:40.9,-28,1056,-128
31:41.0,-44,1040,-248
31:41.1,-20,1032,-196
31:41.2,-8,1048,-156
31:41.3,-4,1060,-204
31:41.4,-4,1036,-244
31:41.5,4,1020,-256
31:41.6,0,992,-220
31:41.7,-4,1032,-272
31:41.8,-8,1032,-240
31:41.9,-4,1020,-232
31:42.0,0,1048,-252
31:42.1,-4,1036,-252
31:42.2,20,1000,-204
31:42.3,12,1004,-280
31:42.4,0,1036,-284
31:42.5,-8,1040,-300
31:42.6,44,1036,-196
31:42.7,12,1008,-128
31:42.8,-28,1052,-224
31:42.9,-12,1040,-132
31:43.0,0,1040,-260
31:43.1,8,1044,-224
31:43.2,-4,1036,-332
31:43.3,-12,1016,-328
31:43.4,0,1032,-304
31:43.5,-8,996,-132
31:43.6,-20,1008,-272
31:43.7,40,984,-136
31:43.8,24,1000,-320
31:43.9,32,984,-284
31:44.0,-28,992,-188
31:44.1,-28,984,-172
31:44.2,8,988,-272
31:44.3,-8,960,-324
31:44.4,-16,1004,-380
31:44.5,0,1008,-376
31:44.6,-4,1004,-304
31:44.7,0,1008,-280
31:44.8,4,1024,-300
31:44.9,16,1040,-280
